Titre,Localisation,Prix,Année-Modèle,Boite de vitesses,Type de carburant,Kilométrage,Marque,Modèle,Nombre de portes,Origine,Première main,Puissance fiscale,État,ABS,Airbags,CD/MP3/Bluetooth,Caméra de recul,Climatisation,ESP,Jantes aluminium,Limiteur de vitesse,Ordinateur de bord,Radar de recul,Régulateur de vitesse,Sièges cuir,Système de navigation/GPS,Toit ouvrant,Verrouillage centralisé à distance,Vitres électriques
doblo 2015,"Sala El Jadida, Salé",82 000 DH,2015,Manuelle,Diesel,250 000 - 299 999,Fiat,Doblo,5,Importée neuve,Non,5 CV,Très bon,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Citroen Berlingo Diesel Manuelle 2022 à Casablanca,"Route d'Azemmour, Casablanca",190 000 DH,2022,Manuelle,Diesel,150 000 - 159 999,Citroen,Berlingo,5,WW au Maroc,Oui,6 CV,Excellent,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Renault 19 storia,"Toute la ville, Er-Rich",44 000 DH,1994,Manuelle,Diesel,Plus de 500 000,Renault,19,5,Dédouanée,Non,7 CV,Bon,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Mercedes-Benz Classe A 180 pack amg,"Hay Saada, Fès",330 000 DH,2018,Automatique,Diesel,120 000 - 129 999,Mercedes-Benz,Classe A,5,Importée neuve,Non,6 CV,Très bon,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Audi A3 Diesel Automatique 2017 à Casablanca,"Aïn Chock, Casablanca",258 000 DH,2017,Automatique,Diesel,55 000 - 59 999,Audi,A3,5,,Oui,8 CV,Excellent,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
peugot 308 gtline,"Route d'El Jadida, Casablanca",260 000 DH,2022,Automatique,Diesel,80 000 - 84 999,Peugeot,308,5,WW au Maroc,Oui,7 CV,Excellent,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
fiat fiorino,"Aïn Chock, Casablanca",112 000 DH,2021,Manuelle,Diesel,65 000 - 69 999,Fiat,Fiorino,,,,5 CV,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Peugeot 308,"Toute la ville, Béni Mellal",155 000 DH,2018,Manuelle,Diesel,130 000 - 139 999,Peugeot,308,5,WW au Maroc,Non,6 CV,Excellent,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE
داصيا لوجان ديزل يدوي 2024 في الدار البيضاء,"Sidi Moumen, Casablanca",152 000 DH,2024,Manuelle,Diesel,0 - 4 999,Dacia,Logan,5,WW au Maroc,Oui,7 CV,Très bon,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
jaguar x type,"Hay Riad, Rabat",53 000 DH,2004,Manuelle,Diesel,250 000 - 299 999,Jaguar,X-Type,5,Dédouanée,Non,8 CV,Bon,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
Audi A1 Diesel Automatique 2018 à Casablanca,"Racine, Casablanca",190 000 DH,2018,Automatique,Diesel,80 000 - 84 999,Audi,A1,5,WW au Maroc,Oui,6 CV,Excellent,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
kia picanto automatique modele 2020,"Yacoub El Mansour, Rabat",115 000 DH,2020,Automatique,Essence,70 000 - 74 999,Kia,Picanto,,,,6 CV,Très bon,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
Fiesta,"Tilila, Agadir",100 000 DH,2013,Manuelle,Diesel,140 000 - 149 999,Ford,Fiesta,5,WW au Maroc,Non,6 CV,Excellent,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
Toyota CHR hybride 2022 automatique,"Sala El Jadida, Salé",237 000 DH,2022,Automatique,Hybride,40 000 - 44 999,Toyota,C-HR,5,WW au Maroc,Oui,10 CV,Excellent,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE
Peugeot 208 white edition,"Ain Sebaa, Casablanca",109 000 DH,2019,Manuelle,Diesel,100 000 - 109 999,Peugeot,208,5,WW au Maroc,Non,6 CV,Excellent,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
seat ateca expérience 2021,"Autre secteur, Tanger",285 000 DH,2021,Automatique,Diesel,80 000 - 84 999,Seat,Altea,5,WW au Maroc,Non,6 CV,Très bon,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
Skoda Superb,"Centre, Kénitra",215 000 DH,2019,Automatique,Diesel,160 000 - 169 999,Skoda,Superb,5,,,8 CV,Excellent,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Mercedes Classe C220,"Aïn Chock, Casablanca",380 000 DH,2018,Automatique,Diesel,160 000 - 169 999,Mercedes-Benz,Classe C,5,Dédouanée,Non,9 CV,Excellent,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Audi A1 Diesel Automatique 2018 à Casablanca,"Racine, Casablanca",190 000 DH,2018,Automatique,Diesel,80 000 - 84 999,Audi,A1,5,WW au Maroc,Oui,6 CV,Excellent,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
kia picanto automatique modele 2020,"Yacoub El Mansour, Rabat",115 000 DH,2020,Automatique,Essence,70 000 - 74 999,Kia,Picanto,,,,6 CV,Très bon,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
Fiesta,"Tilila, Agadir",100 000 DH,2013,Manuelle,Diesel,140 000 - 149 999,Ford,Fiesta,5,WW au Maroc,Non,6 CV,Excellent,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
Toyota CHR hybride 2022 automatique,"Sala El Jadida, Salé",237 000 DH,2022,Automatique,Hybride,40 000 - 44 999,Toyota,C-HR,5,WW au Maroc,Oui,10 CV,Excellent,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE
Peugeot 208 white edition,"Ain Sebaa, Casablanca",109 000 DH,2019,Manuelle,Diesel,100 000 - 109 999,Peugeot,208,5,WW au Maroc,Non,6 CV,Excellent,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
seat ateca expérience 2021,"Autre secteur, Tanger",285 000 DH,2021,Automatique,Diesel,80 000 - 84 999,Seat,Altea,5,WW au Maroc,Non,6 CV,Très bon,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
Skoda Superb,"Centre, Kénitra",215 000 DH,2019,Automatique,Diesel,160 000 - 169 999,Skoda,Superb,5,,,8 CV,Excellent,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Mercedes Classe C220,"Aïn Chock, Casablanca",380 000 DH,2018,Automatique,Diesel,160 000 - 169 999,Mercedes-Benz,Classe C,5,Dédouanée,Non,9 CV,Excellent,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
ford focus ghia,"Toute la ville, Salé",75 000 DH,2008,Manuelle,Diesel,300 000 - 349 999,Ford,Focus,5,WW au Maroc,Non,7 CV,Excellent,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
Kia Picanto 2019 tt,"Oued Fès, Fès",88 000 DH,2019,Manuelle,Essence,160 000 - 169 999,Kia,Picanto,5,WW au Maroc,Oui,6 CV,Excellent,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
Dacia Logan,"Toute la ville, Salé",77 000 DH,2010,Manuelle,Diesel,40 000 - 44 999,Dacia,Logan,5,WW au Maroc,Non,7 CV,Très bon,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
Mercedes C220,"Bab Fès, Kénitra",68 000 DH,2002,Manuelle,Diesel,30 000 - 34 999,Mercedes-Benz,220,5,WW au Maroc,Non,9 CV,Très bon,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
logan n9iya rkab o zid,"Haddad, Tanger",60 000 DH,2007,Manuelle,Diesel,30 000 - 34 999,Dacia,Logan,5,WW au Maroc,Non,6 CV,Très bon,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
Nissan Qashqai Diesel Automatique 2011,"Oulfa, Casablanca",115 000 DH,2011,Automatique,Diesel,200 000 - 249 999,Nissan,Qashqai,5,WW au Maroc,Oui,8 CV,Excellent,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Nissan Qashqai 6 CV automatique écran,"Ihchach, Agadir",240 000 DH,2021,Automatique,Diesel,100 000 - 109 999,Nissan,Qashqai,5,WW au Maroc,Non,6 CV,Excellent,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE
mercedes c220 tout option motor normal lmlih,"Toute la ville, Khénifra",50 000 DH,1995,Manuelle,Diesel,25 000 - 29 999,Mercedes-Benz,220,5,Dédouanée,Non,9 CV,Très bon,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
mercedes c220 tout option motor normal lmlih,"Toute la ville, Khénifra",50 000 DH,1995,Manuelle,Diesel,25 000 - 29 999,Mercedes-Benz,220,5,Dédouanée,Non,9 CV,Très bon,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
بونتو ايصانص 2007,"Toute la ville, Souk Sebt Ouled Nemma",45 000 DH,2000,Manuelle,Essence,180 000 - 189 999,Fiat,Punto,5,Dédouanée,Non,6 CV,Excellent,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
dacia Logan,"Zitoune, Meknès",119 000 DH,2018,Manuelle,Diesel,110 000 - 119 999,Dacia,Logan,5,WW au Maroc,,6 CV,Excellent,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
fiat grand punto,"Zitoune, Meknès",55 000 DH,2010,Manuelle,Essence,250 000 - 299 999,Fiat,Punto,5,WW au Maroc,,7 CV,,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
AFFAIRE À SAISIR  MERCEDES-BENZ C220D 2022,"Palmeraie, Marrakech",580 000 DH,2022,Automatique,Diesel,90 000 - 94 999,Mercedes-Benz,Classe C,5,Dédouanée,Non,9 CV,Excellent,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
skoda,"LABC, Safi",185 000 DH,2022,Manuelle,Diesel,55 000 - 59 999,Skoda,Scala,5,WW au Maroc,Oui,7 CV,Excellent,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Dacia Sandero Diesel Manuelle 2024 à Agadir,"Autre secteur, Agadir",167 000 DH,2024,Manuelle,Diesel,0 - 4 999,Dacia,Sandero,5,WW au Maroc,Oui,6 CV,Bon,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
sokda octavia,"Hay Salam, Agadir",193 000 DH,2020,Automatique,Diesel,140 000 - 149 999,Skoda,Octavia,5,WW au Maroc,Non,8 CV,Très bon,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
jeep wrangler (sahara) diwana 2016,"Autre secteur, Nador",275 000 DH,2012,Automatique,Diesel,130 000 - 139 999,Jeep,Wrangler,5,Dédouanée,Non,11 CV,Très bon,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Dacia Logan Diesel Manuelle 2021 à Fès,"Oued Fès, Fès",128 000 DH,2021,Manuelle,Diesel,110 000 - 119 999,Dacia,Logan,5,WW au Maroc,Oui,6 CV,Excellent,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
sportage,"Aïn Diab, Casablanca",265 000 DH,2021,Automatique,Diesel,0 - 4 999,Kia,Sportage,,,Oui,8 CV,Excellent,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
Volvo XC60 Diesel Automatique 2021 à Casablanca,"Aïn Diab, Casablanca",350 000 DH,2021,Automatique,Diesel,50 000 - 54 999,Volvo,XC60,5,WW au Maroc,Oui,8 CV,Excellent,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
range rover sport tt options,"Route Ain Chkaf, Fès",339 000 DH,2017,Automatique,Diesel,180 000 - 189 999,Land Rover,Range Rover Sport,5,WW au Maroc,Oui,12 CV,Excellent,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Renault clio 5 rs line,"Tanja Balia, Tanger",183 000 DH,2021,Manuelle,Diesel,70 000 - 74 999,Renault,Clio,5,WW au Maroc,Non,6 CV,Excellent,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
grand i10 a vendre,"Wifak, Temara",105 000 DH,2016,Automatique,Essence,70 000 - 74 999,Hyundai,i10,5,WW au Maroc,,6 CV,Excellent,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
BMW Série 1 Diesel Manuelle 2013 à Casablanca,"Anfa, Casablanca",140 000 DH,2013,Manuelle,Diesel,190 000 - 199 999,BMW,Série 1,5,WW au Maroc,Non,8 CV,Très bon,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
Dacia Logan Diesel Manuelle 2021 à Fès,"Oued Fès, Fès",128 000 DH,2021,Manuelle,Diesel,110 000 - 119 999,Dacia,Logan,5,WW au Maroc,Oui,6 CV,Excellent,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
sportage,"Aïn Diab, Casablanca",265 000 DH,2021,Automatique,Diesel,0 - 4 999,Kia,Sportage,,,Oui,8 CV,Excellent,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
Volvo XC60 Diesel Automatique 2021 à Casablanca,"Aïn Diab, Casablanca",350 000 DH,2021,Automatique,Diesel,50 000 - 54 999,Volvo,XC60,5,WW au Maroc,Oui,8 CV,Excellent,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
range rover sport tt options,"Route Ain Chkaf, Fès",339 000 DH,2017,Automatique,Diesel,180 000 - 189 999,Land Rover,Range Rover Sport,5,WW au Maroc,Oui,12 CV,Excellent,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Renault clio 5 rs line,"Tanja Balia, Tanger",183 000 DH,2021,Manuelle,Diesel,70 000 - 74 999,Renault,Clio,5,WW au Maroc,Non,6 CV,Excellent,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
grand i10 a vendre,"Wifak, Temara",105 000 DH,2016,Automatique,Essence,70 000 - 74 999,Hyundai,i10,5,WW au Maroc,,6 CV,Excellent,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
BMW Série 1 Diesel Manuelle 2013 à Casablanca,"Anfa, Casablanca",140 000 DH,2013,Manuelle,Diesel,190 000 - 199 999,BMW,Série 1,5,WW au Maroc,Non,8 CV,Très bon,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
Land Rover,"Ahlane, Tanger",47 000 DH,2002,Manuelle,Diesel,200 000 - 249 999,Land Rover,Freelander,5,WW au Maroc,Non,8 CV,Très bon,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE
Fiat 500 Essence Automatique 2022 à Fès,"Route de Sefrou, Fès",142 000 DH,2022,Automatique,Essence,80 000 - 84 999,Fiat,500,5,WW au Maroc,Non,6 CV,Excellent,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
Mercedes-Benz Classe E Diesel Automatique 2005,"Medina, Salé",62 000 DH,2005,Automatique,Diesel,200 000 - 249 999,Mercedes-Benz,Classe E,5,Dédouanée,Non,11 CV,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
vente dacia Logan,"Toute la ville, Dakhla",54 000 DH,2012,Manuelle,Essence,350 000 - 399 999,Dacia,Logan,,WW au Maroc,Oui,8 CV,Très bon,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Honda accord,"Oulfa, Casablanca",112 000 DH,2010,Automatique,Diesel,190 000 - 199 999,Honda,Accord,5,WW au Maroc,Oui,8 CV,Excellent,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
citroen c15,"Errahma, Casablanca",29 000 DH,1998,Manuelle,Essence,30 000 - 34 999,Citroen,C15,,,,7 CV,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Renault Express Diesel Manuelle 2022 à Meknès,"Autre secteur, Meknès",155 000 DH,2022,Manuelle,Diesel,30 000 - 34 999,Renault,Express,5,WW au Maroc,Oui,6 CV,Excellent,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
Volkswagen Golf 2 GTD Diesel Manuelle 1990,"Toute la ville, Sefrou",50 000 DH,1990,Manuelle,Diesel,400 000 - 449 999,Volkswagen,Golf 2,5,Dédouanée,Oui,6 CV,Excellent,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Citroen C3 Diesel Manuelle 2018 à Kénitra,"Al Maghrib Al Arabi, Kénitra",120 000 DH,2018,Manuelle,Diesel,60 000 - 64 999,Citroen,C3,5,WW au Maroc,Oui,6 CV,Excellent,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
Clio 5 Diesel 2022,"Toute la ville, Laâyoune",125 000 DH,2022,Manuelle,Diesel,130 000 - 139 999,Renault,Clio,5,WW au Maroc,Non,6 CV,Excellent,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE
r19 model 94 ded 2008,"Agdal, Fès",40 000 DH,1994,Manuelle,Diesel,200 000 - 249 999,Renault,19,5,Dédouanée,Non,7 CV,Bon,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Renault Clio Diesel Manuelle 2018 à Salé,"Bettana, Salé",106 000 DH,2018,Manuelle,Diesel,100 000 - 109 999,Renault,Clio,5,,Non,6 CV,Très bon,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Citroën C3 Aircross Automatique,"Centre, Fès",175 000 DH,2019,Automatique,Diesel,100 000 - 109 999,Citroen,C3,5,WW au Maroc,Oui,6 CV,Excellent,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE
كيا بيكانتو,"Targa, Marrakech",53 000 DH,2011,Manuelle,Essence,35 000 - 39 999,Kia,Picanto,5,WW au Maroc,Non,6 CV,Correct,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
sandero,"Ain Sebaa, Casablanca",120 000 DH,2022,Manuelle,Diesel,0 - 4 999,Dacia,Sandero,,WW au Maroc,Oui,6 CV,Excellent,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Ford Focus Diesel Manuelle 2002 à Marrakech,"Azli, Marrakech",58 000 DH,2002,Manuelle,Diesel,190 000 - 199 999,Ford,Focus,5,WW au Maroc,Oui,7 CV,Excellent,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
audi A3 2005 ded 2006,"Marjane 2, Meknès",80 000 DH,2005,Manuelle,Diesel,300 000 - 349 999,Audi,A3,5,Dédouanée,Non,8 CV,Très bon,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Volvo c 30 diesel,"Seyad, Kénitra",59 000 DH,2010,Manuelle,Diesel,250 000 - 299 999,Volvo,C30,5,WW au Maroc,Non,6 CV,Bon,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
hyundai grand i10 fulle option,"Centre Ville, Oujda",130 000 DH,2021,Manuelle,Essence,60 000 - 64 999,Hyundai,i10,5,WW au Maroc,Oui,6 CV,Neuf,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE
renault Clio diesel,"Al Fida, Casablanca",110 000 DH,2019,Manuelle,Diesel,140 000 - 149 999,Renault,Clio,5,WW au Maroc,Non,6 CV,Très bon,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
Citroën c Elysée,"La Hacienda, Meknès",162 000 DH,2024,Manuelle,Diesel,5 000 - 9 999,Citroen,C-Elysée,5,WW au Maroc,Oui,6 CV,Excellent,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
Dacia sandero stipway l3amra,"Al Batha, Casablanca",100 000 DH,2015,Manuelle,Diesel,140 000 - 149 999,Dacia,Sandero,3,WW au Maroc,Non,6 CV,Très bon,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
Suzuki Maruti Essence Manuelle 2008 à Boufkrane,"Toute la ville, Boufkrane",25 000 DH,2008,Manuelle,Essence,0 - 4 999,Suzuki,Maruti,5,Dédouanée,Non,5 CV,Très bon,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Mégane 3 full option model 2013,"Toute la ville, Errachidia",125 000 DH,2013,Manuelle,Diesel,160 000 - 169 999,Renault,Megane,5,WW au Maroc,Non,7 CV,Excellent,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
